procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   5164  96596 119940 973156    0    0     4     4  228  373  2  2 96  0  0
 0  0   5164  96596 119948 973148    0    0     0    76  140  240  1  0 99  0  0
 0  0   5164  96596 119948 973156    0    0     4     4  242  376  3  2 95  0  0
 0  0   5164  96588 119948 973156    0    0     0     0  440  306  1  2 97  0  0
 1  0   5164  96588 119948 973168    0    0     4     4  212  358  2  2 96  0  0
 0  0   5164  96588 119948 973172    0    0     0     0  214  259  1  2 97  0  0
 1  0   5164  96588 119956 973172    0    0     4    56  221  371  3  0 97  0  0
 0  0   5164  96588 119956 973172    0    0     0     0  162  268  2  2 96  0  0
 0  0   5164  96336 119956 973176    0    0     4     4  152  361  2  0 98  0  0
 0  0   5164  96336 119956 973176    0    0     4     4  461  398  3  3 94  0  0
 0  0   5164  96336 119956 973180    0    0     4     4  180  353  2  0 98  0  0
 0  0   5164  96336 119956 973180    0    0     0     0  146  266  2  1 97  0  0
 1  0   5164  96336 119964 973184    0    0     4    56  368  449  3  3 94  0  0
 0  0   5164  96336 119964 973184    0    0     4     4  422  405  2  4 94  0  0
 0  0   5164  96336 119964 973184    0    0     4     4  387  356  2  3 95  0  0
 0  0   5164  96304 119964 973184    0    0     4   436  372  372  3  2 95  0  0
 0  0   5164  96052 119964 973192    0    0     4     4  261  384  2  1 97  0  0
 0  0   5164  96052 119972 973188    0    0     4    64  415  369  2  3 95  0  0
 0  0   5164  96052 119972 973192    0    0     8     4  199  367  4  0 96  0  0
 0  0   5164  96052 119972 973192    0    0     4     4  204  338  1  1 98  0  0
 0  0   5164  96052 119972 973204    0    0     4    28  404  373  2  3 95  0  0
 0  0   5164  96052 119972 973200    0    0     4     4  291  384  2  2 96  0  0
 0  0   5164  95800 119980 973200    0    0     8    68  228  380  3  0 97  0  0
 1  0   5164  95800 119980 973200    0    0     8     4  110  310  3  0 97  0  0
 0  0   5164  95800 119980 973204    0    0     8     4  490  416  1  7 92  0  0
 0  0   5164  95800 119980 973204    0    0     8     4  231  376  3  1 96  0  0
 1  0   5164  95548 119980 973208    0    0     8     4  248  374  3  1 96  0  0
 0  0   5164  95548 119988 973208    0    0     8    56  388  395  1  4 95  0  0
 0  0   5164  95540 119988 973220    0    0     8     4  357  384  3  3 94  0  0
 0  0   5164  88496 120004 973292    0    0    12    92  247 1019  8  4 87  1  0
 0  0   5164  88488 120004 973332    0    0     8     4  802  433  2  8 90  0  0
 0  0   5164  88236 120004 973332    0    0     8    52  292  376  4  2 94  0  0
 0  0   5164  88236 120004 973336    0    0     8     4  367  369  2  4 94  0  0
 0  0   5164  94136 120004 973336    0    0     8     4  257  416  4  2 94  0  0
 0  0   5164  93632 120004 973340    0    0     8     4  449  371  2  5 93  0  0
 0  0   5164  93632 120012 973340    0    0     8    64  262  415  3  2 95  0  0
